Translating types for jansi (use_llm=true, use_rag=true)
[type 0001/1452] ✅ void -> Unit | fixed_map
[type 0480/1452] ✅ AnsiPrintStream -> AnsiPrintStream | custom_type
[type 0481/1452] ✅ IOException -> IOException | llm
[type 0482/1452] ❌ IOError -> IOException | fallback:budget_exhausted
[type 0483/1452] ✅ void -> Unit | fixed_map
[type 0484/1452] ✅ AnsiColors -> AnsiColors | custom_type
[type 0485/1452] ✅ OutputStream -> OutputStream | fixed_map
[type 0486/1452] ✅ AnsiColors -> AnsiColors | custom_type
[type 0487/1452] ✅ boolean -> Bool | fixed_map
[type 0488/1452] ✅ ArrayList<Object> -> ArrayList<Object> | llm
[type 0489/1452] ✅ int -> Int64 | fixed_map
[type 0490/1452] ✅ boolean -> Bool | fixed_map
[type 0491/1452] ✅ Object -> Any | fixed_map
[type 0492/1452] ✅ Integer -> Int64 | fixed_map
[type 0493/1452] ✅ IllegalArgumentException -> IllegalArgumentException | llm
[type 0494/1452] ❌ StringBuilder -> Any | fallback:budget_exhausted
[type 0495/1452] ✅ Iterator<Object> -> Iterator<Object> | llm
[type 0496/1452] ✅ int -> Int64 | fixed_map
[type 0497/1452] ✅ boolean -> Bool | fixed_map
[type 0498/1452] ✅ ArrayList<Object> -> ArrayList<Object> | llm
[type 0499/1452] ✅ boolean -> Bool | fixed_map
[type 0500/1452] ✅ ArrayList<Object> -> ArrayList<Object> | llm
[type 0501/1452] ✅ String -> String | fixed_map
[type 0502/1452] ✅ String -> String | fixed_map
[type 0503/1452] ✅ Pattern -> Regex | fixed_map
[type 0504/1452] ✅ String -> String | fixed_map
[type 0505/1452] ❌ String[] -> Array<Any> | fallback:budget_exhausted
[type 0506/1452] ✅ File -> File | llm
[type 0507/1452] ✅ String -> String | fixed_map
[type 0508/1452] ✅ boolean -> Bool | fixed_map
[type 0509/1452] ✅ Process -> Process | llm
[type 0510/1452] ❌ ProcessBuilder -> Any | fallback:budget_exhausted
[type 0511/1452] ✅ String -> String | fixed_map
[type 0512/1452] ✅ Throwable -> Exception | llm
[type 0513/1452] ✅ int -> Int64 | fixed_map
[type 0514/1452] ✅ String -> String | fixed_map
[type 0515/1452] ✅ Process -> Process | llm
[type 0516/1452] ❌ ProcessBuilder -> Any | fallback:budget_exhausted
[type 0517/1452] ✅ String -> String | fixed_map
[type 0518/1452] ✅ IOException -> IOException | llm
[type 0519/1452] ✅ Matcher -> Regex | llm
[type 0520/1452] ✅ Exception -> Exception | llm
[type 0521/1452] ✅ RuntimeException -> Exception | llm
[type 0522/1452] ✅ String -> String | fixed_map
[type 0523/1452] ✅ Process -> Process | llm
[type 0524/1452] ❌ ByteArrayOutputStream -> Any | fallback:budget_exhausted
[type 0525/1452] ✅ InputStream -> InputStream | fixed_map
[type 0526/1452] ✅ int -> Int64 | fixed_map
[type 0527/1452] ❌ ProcessBuilder.Redirect -> Any | fallback:budget_exhausted
[type 0528/1452] ✅ FileDescriptor -> FileDescriptor | llm
[type 0529/1452] ❌ Class<?> -> Any | fallback:budget_exhausted
[type 0530/1452] ✅ Constructor<?> -> Constructor | llm
[type 0531/1452] ❌ ProcessBuilder.Redirect -> Any | fallback:budget_exhausted
[type 0532/1452] ❌ ProcessBuilder -> Any | fallback:budget_exhausted
[type 0533/1452] ❌ Redirect -> Any | fallback:budget_exhausted
[type 0534/1452] ✅ Field -> InstancePropertyInfo | fixed_map
[type 0535/1452] ✅ OutputStream -> OutputStream | fixed_map
[type 0536/1452] ✅ int -> Int64 | fixed_map
[type 0537/1452] ✅ int -> Int64 | fixed_map
[type 0538/1452] ✅ int -> Int64 | fixed_map
[type 0539/1452] ✅ int -> Int64 | fixed_map
[type 0540/1452] ✅ int -> Int64 | fixed_map
[type 0541/1452] ✅ int -> Int64 | fixed_map
[type 0542/1452] ✅ int -> Int64 | fixed_map
[type 0543/1452] ✅ int -> Int64 | fixed_map
[type 0544/1452] ✅ int -> Int64 | fixed_map
[type 0545/1452] ✅ int -> Int64 | fixed_map
[type 0546/1452] ✅ int -> Int64 | fixed_map
[type 0547/1452] ✅ int -> Int64 | fixed_map
[type 0548/1452] ✅ int -> Int64 | fixed_map
[type 0549/1452] ✅ int -> Int64 | fixed_map
[type 0550/1452] ✅ int -> Int64 | fixed_map
[type 0551/1452] ✅ int -> Int64 | fixed_map
[type 0552/1452] ✅ int -> Int64 | fixed_map
[type 0553/1452] ✅ int -> Int64 | fixed_map
[type 0554/1452] ✅ int -> Int64 | fixed_map
[type 0555/1452] ✅ int -> Int64 | fixed_map
[type 0556/1452] ✅ int -> Int64 | fixed_map
[type 0557/1452] ✅ int -> Int64 | fixed_map
[type 0558/1452] ✅ int -> Int64 | fixed_map
[type 0559/1452] ✅ int -> Int64 | fixed_map
[type 0560/1452] ✅ int -> Int64 | fixed_map
[type 0561/1452] ✅ int -> Int64 | fixed_map
[type 0562/1452] ✅ int -> Int64 | fixed_map
[type 0563/1452] ✅ int -> Int64 | fixed_map
[type 0564/1452] ✅ OutputStream -> OutputStream | fixed_map
[type 0565/1452] ✅ int -> Int64 | fixed_map
[type 0566/1452] ✅ Iterator<Object> -> Iterator<Object> | llm
[type 0567/1452] ✅ IllegalArgumentException -> IllegalArgumentException | llm
[type 0568/1452] ✅ Object -> Any | fixed_map
[type 0569/1452] ✅ Integer -> Int64 | fixed_map
[type 0570/1452] ✅ boolean -> Bool | fixed_map
[type 0571/1452] ✅ ArrayList<Object> -> ArrayList<Object> | llm
[type 0572/1452] ✅ int -> Int64 | fixed_map
[type 0573/1452] ✅ Object -> Any | fixed_map
[type 0574/1452] ✅ Integer -> Int64 | fixed_map
[type 0575/1452] ✅ IllegalArgumentException -> IllegalArgumentException | llm
[type 0576/1452] ✅ int -> Int64 | fixed_map
[type 0577/1452] ✅ Iterator<Object> -> Iterator<Object> | llm
[type 0578/1452] ✅ boolean -> Bool | fixed_map
[type 0579/1452] ✅ ArrayList<Object> -> ArrayList<Object> | llm
[type 0580/1452] ✅ int -> Int64 | fixed_map
[type 0581/1452] ✅ String -> String | fixed_map
[type 0582/1452] ✅ IllegalArgumentException -> IllegalArgumentException | llm
[type 0583/1452] ✅ boolean -> Bool | fixed_map
[type 0584/1452] ✅ ArrayList<Object> -> ArrayList<Object> | llm
[type 0585/1452] ✅ int -> Int64 | fixed_map
[type 0586/1452] ✅ char -> Rune | fixed_map
[type 0587/1452] ✅ Character -> Rune | fixed_map
[type 0588/1452] ✅ int -> Int64 | fixed_map
[type 0589/1452] ✅ ArrayList<Object> -> ArrayList<Object> | llm
[type 0590/1452] ✅ int -> Int64 | fixed_map
[type 0591/1452] ✅ IllegalArgumentException -> IllegalArgumentException | llm
[type 0592/1452] ✅ Object -> Any | fixed_map
[type 0593/1452] ✅ Integer -> Int64 | fixed_map
[type 0594/1452] ✅ int -> Int64 | fixed_map
[type 0595/1452] ✅ ArrayList<Object> -> ArrayList<Object> | llm
[type 0596/1452] ✅ int -> Int64 | fixed_map
[type 0597/1452] ✅ int -> Int64 | fixed_map
[type 0598/1452] ✅ Object -> Any | fixed_map
[type 0599/1452] ✅ Integer -> Int64 | fixed_map
[type 0600/1452] ✅ void -> Unit | fixed_map
[type 0601/1452] ✅ void -> Unit | fixed_map
[type 0602/1452] ✅ void -> Unit | fixed_map
[type 0603/1452] ✅ int -> Int64 | fixed_map
[type 0604/1452] ✅ void -> Unit | fixed_map
[type 0605/1452] ✅ int -> Int64 | fixed_map
[type 0606/1452] ✅ void -> Unit | fixed_map
[type 0607/1452] ✅ int -> Int64 | fixed_map
[type 0608/1452] ✅ void -> Unit | fixed_map
[type 0609/1452] ✅ int -> Int64 | fixed_map
[type 0610/1452] ✅ void -> Unit | fixed_map
[type 0611/1452] ✅ int -> Int64 | fixed_map
[type 0612/1452] ✅ void -> Unit | fixed_map
[type 0613/1452] ✅ int -> Int64 | fixed_map
[type 0614/1452] ✅ void -> Unit | fixed_map
[type 0615/1452] ✅ int -> Int64 | fixed_map
[type 0616/1452] ✅ void -> Unit | fixed_map
[type 0617/1452] ✅ int -> Int64 | fixed_map
[type 0618/1452] ✅ void -> Unit | fixed_map
[type 0619/1452] ✅ int -> Int64 | fixed_map
[type 0620/1452] ✅ boolean -> Bool | fixed_map
[type 0621/1452] ✅ void -> Unit | fixed_map
[type 0622/1452] ✅ int -> Int64 | fixed_map
[type 0623/1452] ✅ void -> Unit | fixed_map
[type 0624/1452] ✅ int -> Int64 | fixed_map
[type 0625/1452] ✅ int -> Int64 | fixed_map
[type 0626/1452] ✅ int -> Int64 | fixed_map
[type 0627/1452] ✅ void -> Unit | fixed_map
[type 0628/1452] ✅ int -> Int64 | fixed_map
[type 0629/1452] ✅ void -> Unit | fixed_map
[type 0630/1452] ✅ int -> Int64 | fixed_map
[type 0631/1452] ✅ boolean -> Bool | fixed_map
[type 0632/1452] ✅ void -> Unit | fixed_map
[type 0633/1452] ✅ int -> Int64 | fixed_map
[type 0634/1452] ✅ void -> Unit | fixed_map
[type 0635/1452] ✅ int -> Int64 | fixed_map
[type 0636/1452] ✅ int -> Int64 | fixed_map
[type 0637/1452] ✅ int -> Int64 | fixed_map
[type 0638/1452] ✅ void -> Unit | fixed_map
[type 0639/1452] ✅ void -> Unit | fixed_map
[type 0640/1452] ✅ void -> Unit | fixed_map
[type 0641/1452] ✅ void -> Unit | fixed_map
[type 0642/1452] ✅ int -> Int64 | fixed_map
[type 0643/1452] ✅ int -> Int64 | fixed_map
[type 0644/1452] ✅ void -> Unit | fixed_map
[type 0645/1452] ✅ int -> Int64 | fixed_map
[type 0646/1452] ✅ void -> Unit | fixed_map
[type 0647/1452] ✅ int -> Int64 | fixed_map
[type 0648/1452] ✅ void -> Unit | fixed_map
[type 0649/1452] ✅ int -> Int64 | fixed_map
[type 0650/1452] ✅ int -> Int64 | fixed_map
[type 0651/1452] ✅ void -> Unit | fixed_map
[type 0652/1452] ✅ int -> Int64 | fixed_map
[type 0653/1452] ✅ void -> Unit | fixed_map
[type 0654/1452] ✅ int -> Int64 | fixed_map
[type 0655/1452] ✅ int -> Int64 | fixed_map
[type 0656/1452] ✅ void -> Unit | fixed_map
[type 0657/1452] ✅ int -> Int64 | fixed_map
[type 0658/1452] ✅ void -> Unit | fixed_map
[type 0659/1452] ✅ int -> Int64 | fixed_map
[type 0660/1452] ✅ void -> Unit | fixed_map
[type 0661/1452] ✅ ArrayList<Object> -> ArrayList<Object> | llm
[type 0662/1452] ✅ int -> Int64 | fixed_map
[type 0663/1452] ✅ void -> Unit | fixed_map
[type 0664/1452] ✅ String -> String | fixed_map
[type 0665/1452] ✅ void -> Unit | fixed_map
[type 0666/1452] ✅ String -> String | fixed_map
[type 0667/1452] ✅ void -> Unit | fixed_map
[type 0668/1452] ✅ String -> String | fixed_map
[type 0669/1452] ✅ void -> Unit | fixed_map
[type 0670/1452] ✅ int -> Int64 | fixed_map
[type 0671/1452] ✅ String -> String | fixed_map
[type 0672/1452] ✅ void -> Unit | fixed_map
[type 0673/1452] ✅ int -> Int64 | fixed_map
[type 0674/1452] ✅ char -> Rune | fixed_map
[type 0675/1452] ✅ void -> Unit | fixed_map
[type 0676/1452] ✅ boolean -> Bool | fixed_map
[type 0677/1452] ✅ String -> String | fixed_map
[type 0678/1452] ❌ Throwable -> Exception | fallback:budget_exhausted
[type 0679/1452] ✅ AnsiType -> AnsiType | custom_type
[type 0680/1452] ✅ AnsiColors -> AnsiColors | custom_type
[type 0681/1452] ✅ AnsiMode -> AnsiMode | custom_type
[type 0682/1452] ✅ File -> File | llm
[type 0683/1452] ✅ int -> Int64 | fixed_map
[type 0684/1452] ✅ String -> String | fixed_map
[type 0685/1452] ❌ Package -> Any | fallback:budget_exhausted
[type 0686/1452] ✅ AnsiMain -> AnsiMain | custom_type
[type 0687/1452] ✅ void -> Unit | fixed_map
[type 0688/1452] ✅ boolean -> Bool | fixed_map
[type 0689/1452] ✅ int -> Int64 | fixed_map
[type 0690/1452] ✅ long -> Int64 | fixed_map
[type 0691/1452] ✅ int[] -> Array<Int32> | llm
[type 0692/1452] ✅ MingwSupport -> MingwSupport | custom_type
[type 0693/1452] ✅ String -> String | fixed_map
[type 0694/1452] ✅ Kernel32.Kernel32_CONSOLE_SCREEN_BUFFER_INFO -> Kernel32.Kernel32_CONSOLE_SCREEN_BUFFER_INFO | custom_type
[type 0695/1452] ✅ Kernel32 -> Kernel32 | custom_type
[type 0696/1452] ✅ Kernel32_CONSOLE_SCREEN_BUFFER_INFO -> Kernel32_CONSOLE_SCREEN_BUFFER_INFO | custom_type
[type 0697/1452] ✅ CLibrary.CLibrary_WinSize -> CLibrary.CLibrary_WinSize | custom_type
[type 0698/1452] ✅ CLibrary -> CLibrary | custom_type
[type 0699/1452] ✅ CLibrary_WinSize -> CLibrary_WinSize | custom_type
[type 0700/1452] ✅ void -> Unit | fixed_map
[type 0701/1452] ✅ boolean -> Bool | fixed_map
[type 0702/1452] ❌ PrintStream -> Any | fallback:budget_exhausted
[type 0703/1452] ✅ Ansi.Color -> Ansi.Color | custom_type
[type 0704/1452] ✅ Ansi -> Ansi | custom_type
[type 0705/1452] ✅ Color -> Color | custom_type
[type 0706/1452] ✅ int -> Int64 | fixed_map
[type 0707/1452] ✅ String -> String | fixed_map
[type 0708/1452] ✅ String -> String | fixed_map
[type 0709/1452] ✅ InputStream -> InputStream | fixed_map
[type 0710/1452] ✅ AnsiMain -> AnsiMain | custom_type
[type 0711/1452] ✅ Properties -> HashMap<String, String> | fixed_map
[type 0712/1452] ✅ void -> Unit | fixed_map
[type 0713/1452] ❌ BufferedReader -> Any | fallback:budget_exhausted
[type 0714/1452] ❌ InputStreamReader -> Any | fallback:budget_exhausted
[type 0715/1452] ✅ AnsiMain -> AnsiMain | custom_type
[type 0716/1452] ✅ String -> String | fixed_map
[type 0717/1452] ✅ void -> Unit | fixed_map
[type 0718/1452] ✅ File -> File | llm
[type 0719/1452] ✅ InputStream -> InputStream | fixed_map
[type 0720/1452] ✅ FileInputStream -> File | llm
[type 0721/1452] ✅ byte[] -> Array<Byte> | llm
[type 0722/1452] ✅ byte -> Int8 | fixed_map
[type 0723/1452] ✅ int -> Int64 | fixed_map
[type 0724/1452] ✅ void -> Unit | fixed_map
[type 0725/1452] ❌ Closeable -> Any | fallback:budget_exhausted
[type 0726/1452] ✅ IOException -> IOException | llm
[type 0727/1452] ✅ String -> String | fixed_map
[type 0728/1452] ✅ String -> String | fixed_map
[type 0729/1452] ✅ String -> String | fixed_map
[type 0730/1452] ✅ String -> String | fixed_map
[type 0731/1452] ✅ int -> Int64 | fixed_map
[type 0732/1452] ✅ int -> Int64 | fixed_map
[type 0733/1452] ✅ String -> String | fixed_map
[type 0734/1452] ✅ String -> String | fixed_map
[type 0735/1452] ❌ StringBuilder -> Any | fallback:budget_exhausted
[type 0736/1452] ✅ IOException -> IOException | llm
[type 0737/1452] ✅ IllegalArgumentException -> IllegalArgumentException | llm
[type 0738/1452] ❌ Appendable -> Any | fallback:budget_exhausted
[type 0739/1452] ✅ String -> String | fixed_map
[type 0740/1452] ❌ Appendable -> Any | fallback:budget_exhausted
[type 0741/1452] ✅ int -> Int64 | fixed_map
[type 0742/1452] ❌ IllegalArgumentException -> IllegalArgumentException | fallback:budget_exhausted
[type 0743/1452] ✅ String -> String | fixed_map
[type 0744/1452] ✅ String[] -> Array<Any> | llm
[type 0745/1452] ✅ String -> String | fixed_map
[type 0746/1452] ✅ String -> String | fixed_map
[type 0747/1452] ✅ String -> String | fixed_map
[type 0748/1452] ✅ String -> String | fixed_map
[type 0749/1452] ✅ String -> String | fixed_map
[type 0750/1452] ✅ Ansi -> Ansi | custom_type
[type 0751/1452] ✅ Ansi -> Ansi | custom_type
[type 0752/1452] ✅ String -> String | fixed_map
[type 0753/1452] ✅ Code -> Code | custom_type
[type 0754/1452] ✅ boolean -> Bool | fixed_map
[type 0755/1452] ✅ String -> String | fixed_map
[type 0756/1452] ❌ Enum<?> -> Any | fallback:budget_exhausted
[type 0757/1452] ✅ boolean -> Bool | fixed_map
[type 0758/1452] ❌ Enum<?> -> Any | fallback:budget_exhausted
[type 0759/1452] ✅ boolean -> Bool | fixed_map
[type 0760/1452] ❌ Enum<?> -> Any | fallback:budget_exhausted
[type 0761/1452] ✅ boolean -> Bool | fixed_map
[type 0762/1452] ✅ Ansi.Color -> Ansi.Color | custom_type
[type 0763/1452] ✅ Ansi -> Ansi | custom_type
[type 0764/1452] ✅ Color -> Color | custom_type
[type 0765/1452] ✅ Ansi.Color -> Ansi.Color | custom_type
[type 0766/1452] ✅ Ansi.Color -> Ansi.Color | custom_type
[type 0767/1452] ✅ Ansi -> Ansi | custom_type
[type 0768/1452] ✅ Color -> Color | custom_type
[type 0769/1452] ✅ boolean -> Bool | fixed_map
[type 0770/1452] ✅ Attribute -> Attribute | custom_type
[type 0771/1452] ✅ Attribute -> Attribute | custom_type
[type 0772/1452] ✅ Attribute -> Attribute | custom_type
[type 0773/1452] ✅ boolean -> Bool | fixed_map
[type 0774/1452] ✅ void -> Unit | fixed_map
[type 0775/1452] ❌ String[] -> Array<Any> | fallback:budget_exhausted
[type 0776/1452] ✅ String -> String | fixed_map
[type 0777/1452] ✅ FileInputStream -> File | llm
[type 0778/1452] ✅ int -> Int64 | fixed_map
[type 0779/1452] ✅ AnsiOutputStream -> AnsiOutputStream | custom_type
[type 0780/1452] ✅ boolean -> Bool | fixed_map
[type 0781/1452] ✅ AnsiOutputStream -> AnsiOutputStream | custom_type
[type 0782/1452] ✅ boolean -> Bool | fixed_map
[type 0783/1452] ✅ String -> String | fixed_map
[type 0784/1452] ✅ AnsiOutputStream -> AnsiOutputStream | custom_type
[type 0785/1452] ✅ AnsiOutputStream -> AnsiOutputStream | custom_type
[type 0786/1452] ✅ AnsiType -> AnsiType | custom_type
[type 0787/1452] ✅ AnsiColors -> AnsiColors | custom_type
[type 0788/1452] ✅ AnsiMode -> AnsiMode | custom_type
[type 0789/1452] ✅ void -> Unit | fixed_map
[type 0790/1452] ✅ AnsiMode -> AnsiMode | custom_type
[type 0791/1452] ✅ boolean -> Bool | fixed_map
[type 0792/1452] ✅ void -> Unit | fixed_map
[type 0793/1452] ✅ boolean -> Bool | fixed_map
[type 0794/1452] ✅ int -> Int64 | fixed_map
[type 0795/1452] ✅ void -> Unit | fixed_map
[type 0796/1452] ✅ void -> Unit | fixed_map
[type 0797/1452] ✅ AnsiOutputStream -> AnsiOutputStream | custom_type
[type 0798/1452] ✅ String -> String | fixed_map
[type 0799/1452] ✅ String -> String | fixed_map
[type 0800/1452] ✅ String -> String | fixed_map
[type 0801/1452] ✅ String -> String | fixed_map
[type 0802/1452] ✅ void -> Unit | fixed_map
[type 0803/1452] ✅ String -> String | fixed_map
[type 0804/1452] ✅ long -> Int64 | fixed_map
[type 0805/1452] ✅ short -> Int16 | fixed_map
[type 0806/1452] ✅ short -> Int16 | fixed_map
[type 0807/1452] ✅ short -> Int16 | fixed_map
[type 0808/1452] ✅ short -> Int16 | fixed_map
[type 0809/1452] ✅ short -> Int16 | fixed_map
[type 0810/1452] ✅ short -> Int16 | fixed_map
[type 0811/1452] ✅ short -> Int16 | fixed_map
[type 0812/1452] ✅ short -> Int16 | fixed_map
[type 0813/1452] ✅ short -> Int16 | fixed_map
[type 0814/1452] ✅ short -> Int16 | fixed_map
[type 0815/1452] ✅ short[] -> Array<Int16> | llm
[type 0816/1452] ✅ short[] -> Array<Int16> | llm
[type 0817/1452] ✅ Kernel32_CONSOLE_SCREEN_BUFFER_INFO -> Kernel32_CONSOLE_SCREEN_BUFFER_INFO | custom_type
[type 0818/1452] ✅ short -> Int16 | fixed_map
[type 0819/1452] ✅ boolean -> Bool | fixed_map
[type 0820/1452] ✅ short -> Int16 | fixed_map
[type 0821/1452] ✅ short -> Int16 | fixed_map
[type 0822/1452] ✅ OutputStream -> OutputStream | fixed_map
[type 0823/1452] ✅ long -> Int64 | fixed_map
[type 0824/1452] ✅ OutputStream -> OutputStream | fixed_map
[type 0825/1452] ✅ boolean -> Bool | fixed_map
[type 0826/1452] ✅ OutputStream -> OutputStream | fixed_map
[type 0827/1452] ✅ void -> Unit | fixed_map
[type 0828/1452] ✅ IOException -> IOException | llm
[type 0829/1452] ✅ void -> Unit | fixed_map
[type 0830/1452] ✅ short -> Int16 | fixed_map
[type 0831/1452] ✅ IOException -> IOException | llm
[type 0832/1452] ✅ short -> Int16 | fixed_map
[type 0833/1452] ✅ short -> Int16 | fixed_map
[type 0834/1452] ✅ int -> Int64 | fixed_map
[type 0835/1452] ✅ short -> Int16 | fixed_map
[type 0836/1452] ✅ void -> Unit | fixed_map
[type 0837/1452] ✅ IOException -> IOException | llm
[type 0838/1452] ✅ void -> Unit | fixed_map
[type 0839/1452] ✅ int -> Int64 | fixed_map
[type 0840/1452] ✅ int[] -> Array<Int32> | llm
[type 0841/1452] ✅ int -> Int64 | fixed_map
[type 0842/1452] ✅ Kernel32_COORD -> Kernel32_COORD | custom_type
[type 0843/1452] ✅ void -> Unit | fixed_map
[type 0844/1452] ✅ int -> Int64 | fixed_map
[type 0845/1452] ✅ int[] -> Array<Int32> | llm
[type 0846/1452] ✅ int -> Int64 | fixed_map
[type 0847/1452] ✅ Kernel32_COORD -> Kernel32_COORD | custom_type
[type 0848/1452] ✅ void -> Unit | fixed_map
[type 0849/1452] ✅ int -> Int64 | fixed_map
[type 0850/1452] ✅ short -> Int16 | fixed_map
[type 0851/1452] ✅ void -> Unit | fixed_map
[type 0852/1452] ✅ int -> Int64 | fixed_map
[type 0853/1452] ✅ short -> Int16 | fixed_map
[type 0854/1452] ✅ void -> Unit | fixed_map
[type 0855/1452] ✅ int -> Int64 | fixed_map
[type 0856/1452] ✅ short -> Int16 | fixed_map
[type 0857/1452] ✅ void -> Unit | fixed_map
[type 0858/1452] ✅ int -> Int64 | fixed_map
[type 0859/1452] ✅ short -> Int16 | fixed_map
[type 0860/1452] ✅ void -> Unit | fixed_map
[type 0861/1452] ✅ int -> Int64 | fixed_map
[type 0862/1452] ✅ int -> Int64 | fixed_map
[type 0863/1452] ✅ short -> Int16 | fixed_map
[type 0864/1452] ✅ void -> Unit | fixed_map
[type 0865/1452] ✅ int -> Int64 | fixed_map
[type 0866/1452] ✅ short -> Int16 | fixed_map
[type 0867/1452] ✅ void -> Unit | fixed_map
[type 0868/1452] ✅ int -> Int64 | fixed_map
[type 0869/1452] ✅ short -> Int16 | fixed_map
[type 0870/1452] ✅ void -> Unit | fixed_map
[type 0871/1452] ✅ int -> Int64 | fixed_map
[type 0872/1452] ✅ short -> Int16 | fixed_map
[type 0873/1452] ✅ void -> Unit | fixed_map
[type 0874/1452] ✅ int -> Int64 | fixed_map
[type 0875/1452] ✅ boolean -> Bool | fixed_map
[type 0876/1452] ✅ short -> Int16 | fixed_map
[type 0877/1452] ✅ void -> Unit | fixed_map
[type 0878/1452] ✅ int -> Int64 | fixed_map
[type 0879/1452] ✅ int -> Int64 | fixed_map
[type 0880/1452] ✅ void -> Unit | fixed_map
[type 0881/1452] ✅ int -> Int64 | fixed_map
[type 0882/1452] ✅ int -> Int64 | fixed_map
[type 0883/1452] ✅ int -> Int64 | fixed_map
[type 0884/1452] ✅ int -> Int64 | fixed_map
[type 0885/1452] ✅ void -> Unit | fixed_map
[type 0886/1452] ✅ int -> Int64 | fixed_map
[type 0887/1452] ✅ boolean -> Bool | fixed_map
[type 0888/1452] ✅ short -> Int16 | fixed_map
[type 0889/1452] ✅ void -> Unit | fixed_map
[type 0890/1452] ✅ int -> Int64 | fixed_map
[type 0891/1452] ✅ int -> Int64 | fixed_map
[type 0892/1452] ✅ void -> Unit | fixed_map
[type 0893/1452] ✅ int -> Int64 | fixed_map
[type 0894/1452] ✅ int -> Int64 | fixed_map
[type 0895/1452] ✅ int -> Int64 | fixed_map
[type 0896/1452] ✅ int -> Int64 | fixed_map
[type 0897/1452] ✅ void -> Unit | fixed_map
[type 0898/1452] ✅ short -> Int16 | fixed_map
[type 0899/1452] ✅ void -> Unit | fixed_map
[type 0900/1452] ✅ short -> Int16 | fixed_map
[type 0901/1452] ✅ void -> Unit | fixed_map
[type 0902/1452] ✅ short -> Int16 | fixed_map
[type 0903/1452] ✅ void -> Unit | fixed_map
[type 0904/1452] ✅ int -> Int64 | fixed_map
[type 0905/1452] ✅ short -> Int16 | fixed_map
[type 0906/1452] ✅ void -> Unit | fixed_map
[type 0907/1452] ✅ void -> Unit | fixed_map
[type 0908/1452] ✅ void -> Unit | fixed_map
[type 0909/1452] ✅ int -> Int64 | fixed_map
[type 0910/1452] ✅ Kernel32_SMALL_RECT -> Kernel32_SMALL_RECT | custom_type
[type 0911/1452] ✅ Kernel32_COORD -> Kernel32_COORD | custom_type
[type 0912/1452] ✅ short -> Int16 | fixed_map
[type 0913/1452] ✅ Kernel32_CHAR_INFO -> Kernel32_CHAR_INFO | custom_type
[type 0914/1452] ✅ IOException -> IOException | llm
[type 0915/1452] ✅ void -> Unit | fixed_map
[type 0916/1452] ✅ int -> Int64 | fixed_map
[type 0917/1452] ✅ Kernel32_SMALL_RECT -> Kernel32_SMALL_RECT | custom_type
[type 0918/1452] ✅ Kernel32_COORD -> Kernel32_COORD | custom_type
[type 0919/1452] ✅ short -> Int16 | fixed_map
[type 0920/1452] ✅ Kernel32_CHAR_INFO -> Kernel32_CHAR_INFO | custom_type
[type 0921/1452] ❌ IOException -> IOException | fallback:budget_exhausted
[type 0922/1452] ✅ void -> Unit | fixed_map
[type 0923/1452] ✅ String -> String | fixed_map
[type 0924/1452] ✅ void -> Unit | fixed_map
[type 0925/1452] ✅ Thread -> Thread | llm
[type 0926/1452] ✅ void -> Unit | fixed_map
[type 0927/1452] ✅ Ansi -> Ansi | custom_type
[type 0928/1452] ✅ void -> Unit | fixed_map
[type 0929/1452] ✅ void -> Unit | fixed_map
[type 0930/1452] ✅ int -> Int64 | fixed_map
[type 0931/1452] ✅ String -> String | fixed_map
[type 0932/1452] ✅ void -> Unit | fixed_map
[type 0933/1452] ✅ int -> Int64 | fixed_map
[type 0934/1452] ✅ String -> String | fixed_map
[type 0935/1452] ✅ void -> Unit | fixed_map
[type 0936/1452] ✅ int -> Int64 | fixed_map
[type 0937/1452] ✅ int -> Int64 | fixed_map
[type 0938/1452] ✅ String -> String | fixed_map
[type 0939/1452] ✅ Ansi -> Ansi | custom_type
[type 0940/1452] ✅ void -> Unit | fixed_map
[type 0941/1452] ✅ int -> Int64 | fixed_map
[type 0942/1452] ✅ String -> String | fixed_map
[type 0943/1452] ✅ Ansi -> Ansi | custom_type
[type 0944/1452] ✅ void -> Unit | fixed_map
[type 0945/1452] ✅ int -> Int64 | fixed_map
[type 0946/1452] ✅ String -> String | fixed_map
[type 0947/1452] ✅ Ansi -> Ansi | custom_type
[type 0948/1452] ✅ void -> Unit | fixed_map
[type 0949/1452] ✅ int -> Int64 | fixed_map
[type 0950/1452] ✅ String -> String | fixed_map
[type 0951/1452] ✅ Ansi -> Ansi | custom_type
[type 0952/1452] ✅ void -> Unit | fixed_map
[type 0953/1452] ✅ int -> Int64 | fixed_map
[type 0954/1452] ✅ String -> String | fixed_map
[type 0955/1452] ✅ Ansi -> Ansi | custom_type
[type 0956/1452] ✅ void -> Unit | fixed_map
[type 0957/1452] ✅ int -> Int64 | fixed_map
[type 0958/1452] ✅ String -> String | fixed_map
[type 0959/1452] ✅ Ansi -> Ansi | custom_type
[type 0960/1452] ✅ void -> Unit | fixed_map
[type 0961/1452] ✅ int -> Int64 | fixed_map
[type 0962/1452] ✅ int -> Int64 | fixed_map
[type 0963/1452] ✅ String -> String | fixed_map
[type 0964/1452] ✅ Ansi -> Ansi | custom_type
[type 0965/1452] ✅ void -> Unit | fixed_map
[type 0966/1452] ✅ Ansi -> Ansi | custom_type
